--- REPORTE GENERAL DE VENTAS ----
Total de registros: 150
MONTO TOTAL VENDIDO:
S/. 3770676.10
---------------------------------------
VENDEDOR CON MAYOR RECAUDACIÓN:
ID Vendedor: 4
Total vendido: S/. 648799.80
---------------------------------------
PRODUCTO MÁS VENDIDO:
ID Producto: 20
Total unidades: 1346
---------------------------------------
VENTAS SOSPECHOSAS (cantidad>100):
ID Venta: 3 | ID Vendedor: 1 | ID Producto: 7 | Cantidad: 111
ID Venta: 4 | ID Vendedor: 1 | ID Producto: 5 | Cantidad: 170
ID Venta: 8 | ID Vendedor: 7 | ID Producto: 11 | Cantidad: 185
ID Venta: 11 | ID Vendedor: 1 | ID Producto: 13 | Cantidad: 159
ID Venta: 12 | ID Vendedor: 9 | ID Producto: 20 | Cantidad: 113
ID Venta: 14 | ID Vendedor: 3 | ID Producto: 19 | Cantidad: 178
ID Venta: 15 | ID Vendedor: 6 | ID Producto: 7 | Cantidad: 192
ID Venta: 16 | ID Vendedor: 9 | ID Producto: 8 | Cantidad: 137
ID Venta: 19 | ID Vendedor: 1 | ID Producto: 2 | Cantidad: 196
ID Venta: 21 | ID Vendedor: 10 | ID Producto: 5 | Cantidad: 196
ID Venta: 22 | ID Vendedor: 3 | ID Producto: 6 | Cantidad: 124
ID Venta: 23 | ID Vendedor: 4 | ID Producto: 7 | Cantidad: 161
ID Venta: 24 | ID Vendedor: 4 | ID Producto: 18 | Cantidad: 109
ID Venta: 35 | ID Vendedor: 2 | ID Producto: 17 | Cantidad: 165
ID Venta: 36 | ID Vendedor: 5 | ID Producto: 5 | Cantidad: 149
ID Venta: 37 | ID Vendedor: 3 | ID Producto: 17 | Cantidad: 149
ID Venta: 45 | ID Vendedor: 9 | ID Producto: 4 | Cantidad: 147
ID Venta: 47 | ID Vendedor: 4 | ID Producto: 1 | Cantidad: 153
ID Venta: 48 | ID Vendedor: 10 | ID Producto: 5 | Cantidad: 191
ID Venta: 49 | ID Vendedor: 4 | ID Producto: 5 | Cantidad: 155
ID Venta: 50 | ID Vendedor: 10 | ID Producto: 12 | Cantidad: 189
ID Venta: 55 | ID Vendedor: 4 | ID Producto: 18 | Cantidad: 189
ID Venta: 56 | ID Vendedor: 4 | ID Producto: 19 | Cantidad: 200
ID Venta: 59 | ID Vendedor: 2 | ID Producto: 2 | Cantidad: 144
ID Venta: 61 | ID Vendedor: 3 | ID Producto: 13 | Cantidad: 170
ID Venta: 62 | ID Vendedor: 6 | ID Producto: 15 | Cantidad: 131
ID Venta: 63 | ID Vendedor: 4 | ID Producto: 20 | Cantidad: 117
ID Venta: 64 | ID Vendedor: 8 | ID Producto: 8 | Cantidad: 165
ID Venta: 65 | ID Vendedor: 3 | ID Producto: 5 | Cantidad: 197
ID Venta: 69 | ID Vendedor: 3 | ID Producto: 11 | Cantidad: 190
ID Venta: 70 | ID Vendedor: 7 | ID Producto: 1 | Cantidad: 123
ID Venta: 73 | ID Vendedor: 7 | ID Producto: 9 | Cantidad: 134
ID Venta: 74 | ID Vendedor: 2 | ID Producto: 11 | Cantidad: 146
ID Venta: 75 | ID Vendedor: 2 | ID Producto: 17 | Cantidad: 109
ID Venta: 77 | ID Vendedor: 4 | ID Producto: 20 | Cantidad: 101
ID Venta: 82 | ID Vendedor: 10 | ID Producto: 7 | Cantidad: 172
ID Venta: 85 | ID Vendedor: 4 | ID Producto: 3 | Cantidad: 107
ID Venta: 89 | ID Vendedor: 10 | ID Producto: 1 | Cantidad: 168
ID Venta: 91 | ID Vendedor: 3 | ID Producto: 20 | Cantidad: 112
ID Venta: 92 | ID Vendedor: 4 | ID Producto: 14 | Cantidad: 195
ID Venta: 93 | ID Vendedor: 8 | ID Producto: 13 | Cantidad: 101
ID Venta: 94 | ID Vendedor: 2 | ID Producto: 6 | Cantidad: 150
ID Venta: 96 | ID Vendedor: 10 | ID Producto: 8 | Cantidad: 113
