--- REPORTE GENERAL DE VENTAS ----
Total de registros: 200
MONTO TOTAL VENDIDO:
S/. 530221.02
---------------------------------------
VENDEDOR CON MAYOR RECAUDACIÓN:
ID Vendedor: 9
Total vendido: S/. 71382.93
---------------------------------------
PRODUCTO MÁS VENDIDO:
ID Producto: 14
Total unidades: 1114
---------------------------------------
VENTAS SOSPECHOSAS (cantidad>100):
ID Venta: 3 | ID Vendedor: 10 | ID Producto: 17 | Cantidad: 109
ID Venta: 7 | ID Vendedor: 3 | ID Producto: 3 | Cantidad: 102
ID Venta: 8 | ID Vendedor: 2 | ID Producto: 5 | Cantidad: 146
ID Venta: 9 | ID Vendedor: 10 | ID Producto: 9 | Cantidad: 129
ID Venta: 10 | ID Vendedor: 5 | ID Producto: 14 | Cantidad: 118
ID Venta: 11 | ID Vendedor: 10 | ID Producto: 6 | Cantidad: 117
ID Venta: 16 | ID Vendedor: 9 | ID Producto: 17 | Cantidad: 127
ID Venta: 24 | ID Vendedor: 1 | ID Producto: 11 | Cantidad: 123
ID Venta: 28 | ID Vendedor: 8 | ID Producto: 17 | Cantidad: 128
ID Venta: 31 | ID Vendedor: 9 | ID Producto: 4 | Cantidad: 143
ID Venta: 34 | ID Vendedor: 1 | ID Producto: 3 | Cantidad: 116
ID Venta: 36 | ID Vendedor: 5 | ID Producto: 12 | Cantidad: 101
ID Venta: 39 | ID Vendedor: 1 | ID Producto: 18 | Cantidad: 130
ID Venta: 40 | ID Vendedor: 4 | ID Producto: 18 | Cantidad: 135
ID Venta: 42 | ID Vendedor: 2 | ID Producto: 19 | Cantidad: 147
ID Venta: 45 | ID Vendedor: 10 | ID Producto: 17 | Cantidad: 105
ID Venta: 46 | ID Vendedor: 2 | ID Producto: 20 | Cantidad: 109
ID Venta: 47 | ID Vendedor: 7 | ID Producto: 1 | Cantidad: 107
ID Venta: 48 | ID Vendedor: 8 | ID Producto: 3 | Cantidad: 102
ID Venta: 50 | ID Vendedor: 6 | ID Producto: 10 | Cantidad: 123
ID Venta: 51 | ID Vendedor: 5 | ID Producto: 8 | Cantidad: 148
